source,time,region,region_code,lat,lon,temp,temp_feels,hum,pressure,wind_speed,wind_dir,weather_code,processed_at,quality_flag,weather_label
open-meteo,2026-05-08 09:32:43.627357+00:00,Tambacounda,TC,13.7707,-13.6673,32.2,30.9,28.0,1007.1,10.9,297,3,2026-05-08T09:32:44.007544+00:00,OK,
openweathermap,2026-05-08 09:32:43.903049+00:00,Tambacounda,TC,13.7707,-13.6673,29.12,30.93,58.0,1011.0,4.12,240,800,2026-05-08T09:32:43.981624+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:45.809512+00:00,Kédougou,KD,12.5559,-12.1747,31.2,29.3,36.0,997.1,23.2,264,3,2026-05-08T09:32:46.607280+00:00,OK,
openweathermap,2026-05-08 09:32:46.477778+00:00,Kédougou,KD,12.5559,-12.1747,30.31,30.73,45.0,1011.0,3.09,240,800,2026-05-08T09:32:46.648496+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:48.569447+00:00,Kolda,KO,12.8989,-14.9413,29.1,29.6,39.0,1008.4,5.1,306,1,2026-05-08T09:32:48.939448+00:00,OK,
openweathermap,2026-05-08 09:32:48.824161+00:00,Kolda,KO,12.8989,-14.9413,27.05,28.86,69.0,1012.0,2.06,220,800,2026-05-08T09:32:48.961790+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:50.706764+00:00,Sédhiou,SD,12.708,-15.5569,28.3,28.6,40.0,1009.4,5.7,328,0,2026-05-08T09:32:51.079869+00:00,OK,
openweathermap,2026-05-08 09:32:50.973476+00:00,Sédhiou,SD,12.708,-15.5569,29.49,28.29,30.0,1012.0,1.12,350,803,2026-05-08T09:32:51.114415+00:00,OK,nuageux
open-meteo,2026-05-08 09:32:52.900280+00:00,Ziguinchor,ZG,12.5681,-16.2719,27.0,28.4,51.0,1010.2,5.1,328,0,2026-05-08T09:32:53.626228+00:00,OK,
openweathermap,2026-05-08 09:32:53.520570+00:00,Ziguinchor,ZG,12.5681,-16.2719,26.03,26.03,69.0,1012.0,1.03,340,800,2026-05-08T09:32:53.677457+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:55.603676+00:00,Saint-Louis,SL,16.0179,-16.4896,23.5,22.9,63.0,1011.2,19.0,345,3,2026-05-08T09:32:56.291683+00:00,OK,
openweathermap,2026-05-08 09:32:55.862381+00:00,Saint-Louis,SL,16.0179,-16.4896,23.99,24.25,69.0,1012.0,4.12,360,800,2026-05-08T09:32:56.328802+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:32:57.759470+00:00,Louga,LG,15.6179,-16.2241,24.7,24.5,54.0,1007.2,11.9,342,3,2026-05-08T09:32:58.633512+00:00,OK,
openweathermap,2026-05-08 09:32:58.556215+00:00,Louga,LG,15.6179,-16.2241,24.45,24.13,45.0,1012.0,6.76,346,800,2026-05-08T09:32:58.664273+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:33:00.980749+00:00,Matam,MT,15.6559,-13.2557,33.3,30.7,22.0,1007.6,16.0,341,3,2026-05-08T09:33:02.868016+00:00,OK,
